close,datetime,symbol
38.42,2022-02-14 00:00:00,SMTO3
25.25,2022-02-14 00:00:00,LOGN3
27.05,2022-02-15 00:00:00,CPFE3
38.9,2022-02-15 00:00:00,SMTO3
34.85,2022-02-15 00:00:00,ELET3
37.01,2022-02-15 00:00:00,RRRP3
85.45,2022-02-15 00:00:00,UNIP6
25.39,2022-02-15 00:00:00,LOGN3
21.4,2022-02-15 00:00:00,RECV3
33.67,2022-02-15 00:00:00,ELET6
43.93,2022-02-15 00:00:00,SLCE3
31.61,2022-02-15 00:00:00,HYPE3
21.39,2022-02-16 00:00:00,RECV3
26.15,2022-02-16 00:00:00,LOGN3
34.52,2022-02-16 00:00:00,ELET3
33.29,2022-02-16 00:00:00,ELET6
31.5,2022-02-16 00:00:00,HYPE3
37.15,2022-02-16 00:00:00,RRRP3
39.75,2022-02-16 00:00:00,SMTO3
85.92,2022-02-16 00:00:00,UNIP6
27.05,2022-02-16 00:00:00,CPFE3
43.28,2022-02-16 00:00:00,SLCE3
20.97,2022-02-17 00:00:00,RECV3
26.2,2022-02-17 00:00:00,LOGN3
39.65,2022-02-17 00:00:00,SMTO3
36.5,2022-02-17 00:00:00,RRRP3
83.94,2022-02-17 00:00:00,UNIP6
31.91,2022-02-17 00:00:00,HYPE3
34.53,2022-02-17 00:00:00,ELET3
42.99,2022-02-17 00:00:00,SLCE3
33.18,2022-02-17 00:00:00,ELET6
27.07,2022-02-17 00:00:00,CPFE3
41.6,2022-02-18 00:00:00,SLCE3
34.01,2022-02-18 00:00:00,ELET3
25.8,2022-02-18 00:00:00,LOGN3
39.18,2022-02-18 00:00:00,SMTO3
32.39,2022-02-18 00:00:00,HYPE3
27.1,2022-02-18 00:00:00,CPFE3
33.02,2022-02-18 00:00:00,ELET6
83.75,2022-02-18 00:00:00,UNIP6
20.34,2022-02-18 00:00:00,RECV3
35.66,2022-02-18 00:00:00,RRRP3
27.24,2022-02-21 00:00:00,CPFE3
24.9,2022-02-21 00:00:00,LOGN3
31.69,2022-02-21 00:00:00,HYPE3
37.04,2022-02-21 00:00:00,RRRP3
41.82,2022-02-21 00:00:00,SLCE3
32.36,2022-02-21 00:00:00,ELET6
38.26,2022-02-21 00:00:00,SMTO3
33.24,2022-02-21 00:00:00,ELET3
21,2022-02-21 00:00:00,RECV3
83.18,2022-02-21 00:00:00,UNIP6
39.1,2022-02-22 00:00:00,SMTO3
20.21,2022-02-22 00:00:00,RECV3
32.53,2022-02-22 00:00:00,HYPE3
33.48,2022-02-22 00:00:00,ELET3
25.38,2022-02-22 00:00:00,LOGN3
32.37,2022-02-22 00:00:00,ELET6
27.47,2022-02-22 00:00:00,CPFE3
36.1,2022-02-22 00:00:00,RRRP3
84.45,2022-02-22 00:00:00,UNIP6
41.67,2022-02-22 00:00:00,SLCE3
38.25,2022-02-23 00:00:00,SMTO3
27.97,2022-02-23 00:00:00,CPFE3
32.32,2022-02-23 00:00:00,HYPE3
33.43,2022-02-23 00:00:00,ELET6
34.2,2022-02-23 00:00:00,ELET3
24.87,2022-02-23 00:00:00,LOGN3
41.39,2022-02-23 00:00:00,SLCE3
83.96,2022-02-23 00:00:00,UNIP6
20.56,2022-02-23 00:00:00,RECV3
31.59,2022-02-23 00:00:00,RRRP3
33.18,2022-02-24 00:00:00,ELET3
24.9,2022-02-24 00:00:00,LOGN3
85.05,2022-02-24 00:00:00,UNIP6
27.77,2022-02-24 00:00:00,CPFE3
20.16,2022-02-24 00:00:00,RECV3
32.57,2022-02-24 00:00:00,ELET6
43.16,2022-02-24 00:00:00,SLCE3
32.37,2022-02-24 00:00:00,HYPE3
32.07,2022-02-24 00:00:00,RRRP3
39.63,2022-02-24 00:00:00,SMTO3
27.55,2022-02-25 00:00:00,CPFE3
41.95,2022-02-25 00:00:00,SLCE3
33.27,2022-02-25 00:00:00,HYPE3
24.95,2022-02-25 00:00:00,LOGN3
33.11,2022-02-25 00:00:00,ELET6
40.03,2022-02-25 00:00:00,SMTO3
34.13,2022-02-25 00:00:00,ELET3
20.52,2022-02-25 00:00:00,RECV3
33.88,2022-02-25 00:00:00,RRRP3
84.07,2022-02-25 00:00:00,UNIP6
33.12,2022-03-02 00:00:00,HYPE3
33.04,2022-03-02 00:00:00,ELET6
22.44,2022-03-02 00:00:00,RECV3
87.26,2022-03-02 00:00:00,UNIP6
38.26,2022-03-02 00:00:00,RRRP3
45.7,2022-03-02 00:00:00,SLCE3
33.87,2022-03-02 00:00:00,ELET3
24.84,2022-03-02 00:00:00,LOGN3
27.81,2022-03-02 00:00:00,CPFE3
42.46,2022-03-02 00:00:00,SMTO3
